dataset_label,dataset_session,dataset_row_index,dataset_manual_lap_count,dataset_manual_lap_marked,dataset_manual_lap_mark_at_ms,dataset_manual_lap_mark_age_ms,timestamp_unix_ms,uptime_ms,state,local_mode,local_mode_candidate,ai_source,ai_track_mode,line_pos,line_lost,lost_ms,balance_lr,confidence_fast,confidence_avg,sensor_sum,sensor_max,norm0,norm1,norm2,norm3,raw0,raw1,raw2,raw3,pos_norm,trend_pos,trend_pos_avg,curve_intensity,pid_error,pid_integral,pid_d_filt,pid_correction,motor_a_pwm,motor_b_pwm,base_eff,ai_confidence,ai_blend,ai_speed_factor,ai_kp_scale,ai_ki_scale,ai_kd_scale,ai_pivot_threshold,ai_pivot_cap,ai_recovery_bias,dominant_sensor,dataset_label_age_ms,dataset_label_set_at_ms,dataset_label_source,dataset_label_valid,drive_profile,intersection_active,intersection_score,last_dir,run_elapsed_ms,run_intersection_count,run_lap_estimate,seq_fast,seq_slow,timestamp_valid
curve,session_20260423_145902,59,,,,,1776977953000,302346,running,right_hard,right_soft,heuristic,right_hard,702,0,0,0.847107,0.897378,0.897378,1452,917,19,92,917,424,0,0,0,0,0.468,-0.036667,-0.020444,0.385444,0.468,0.137555,-8.409433,-1.25,-60,117,52,0.875439,0.58,0,0,0,0,0,0,0.366805,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.13344,right,10765,4,0,2212,0,1
curve,session_20260423_145902,60,,,,,1776977954000,302598,running,right_soft,right_soft,heuristic,right_hard,317,0,0,0.405184,0.839408,0.839408,1466,852,10,426,852,178,0,0,0,0,0.211333,0.050667,0.008,0.204992,0.211333,0.238343,4.64481,1.25,173,0,77,0.854819,0.58,0,0,0,0,0,0,0.287535,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.167481,right,11017,4,0,2213,0,1
curve,session_20260423_145902,61,,,,,1776977954000,302850,running,left_hard,left_hard,heuristic,left_hard,-976,0,0,-0.924462,0.957333,0.957333,1721,920,920,736,30,35,0,0,0,0,-0.650667,-0.005333,-0.002333,0.054792,-0.650667,0.196977,-1.229812,-0.766854,60,93,53,0.809436,0.58,0,0,0,0,0,0,-0.378063,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.182097,left,11269,4,0,2214,0,1
curve,session_20260423_145902,62,,,,,1776977954000,303100,running,left_hard,left_hard,heuristic,left_hard,-965,0,0,-0.942273,0.786961,0.786961,1663,847,847,768,23,25,0,0,0,0,-0.643333,0.02,0.044667,0.355347,-0.643333,-0.001464,6.203686,1.25,101,-60,45,0.73517,0.58,0,0,0,0,0,0,-0.35674,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.157538,left,11519,4,0,2216,0,1
straight,session_20260423_145902,63,,,,,1776977954000,303350,running,right_hard,right_hard,heuristic,straight,848,0,0,0.841855,0.879583,0.879583,1682,819,10,123,819,730,0,0,0,0,0.565333,0.040667,0.082889,0.586258,0.565333,0.062968,9.683119,1.25,132,-60,59,0.922952,0.58,0,0,0,0,0,0,0.25,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.151538,right,11769,4,0,2217,0,1
straight,session_20260423_145902,64,,,,,1776977955000,303600,running,right_hard,right_hard,heuristic,straight,773,0,0,0.895985,0.677783,0.677783,1096,682,0,57,682,357,0,0,0,0,0.515333,0.004,0.061889,0.271292,0.515333,0.087322,3.068961,1.25,157,0,70,0.879767,0.58,0,0,0,0,0,0,0.25,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.047803,right,12019,4,0,2218,0,1
curve,session_20260423_145902,65,,,,,1776977955000,303850,running,right_hard,right_hard,heuristic,right_hard,858,0,0,0.888641,0.963681,0.963681,1796,931,22,78,931,765,0,0,0,0,0.572,-0.007333,-0.006222,0.111154,0.572,0.156441,-2.405506,-0.803877,60,99,55,0.862405,0.58,0,0,0,0,0,0,0.374168,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.197597,right,12269,4,0,2219,0,1
curve,session_20260423_145902,66,,,,,1776977955000,304100,running,right_hard,right_hard,heuristic,right_hard,872,0,0,0.913545,0.938789,0.938789,1735,922,16,59,922,738,0,0,0,0,0.581333,-0.006667,-0.005778,0.098307,0.581333,0.186541,-2.111017,-0.665656,60,91,55,0.881513,0.58,0,0,0,0,0,0,0.367525,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.186759,right,12519,4,0,2220,0,1
curve,session_20260423_145902,67,,,,,1776977955000,304352,running,right_hard,right_hard,heuristic,right_soft,962,0,0,0.946439,0.838614,0.838614,1643,808,4,40,791,808,0,0,0,0,0.641333,0.008,0.025889,0.219067,0.641333,0.213682,3.923347,1.25,121,-60,54,0.813882,0.58,0,0,0,0,0,0,0.299804,right_outer,0,0,auto:ai_track_mode,1,normal,0,0.161862,right,12770,4,0,2221,0,1
straight,session_20260423_145902,68,,,,,1776977956000,304603,running,right_hard,right_hard,heuristic,straight,905,0,0,0.89181,0.974058,0.974058,1978,961,52,55,910,961,0,0,0,0,0.603333,0.008,-0.001222,0.032362,0.603333,0.080165,0.735711,0.503851,97,60,65,0.886102,0.58,0,0,0,0,0,0,0.35685,right_outer,0,0,auto:ai_track_mode,1,normal,0,0.230015,right,13021,5,1,2222,0,1
curve,session_20260423_145902,69,,,,,1776977956000,304853,running,right_hard,right_hard,heuristic,right_hard,1363,0,0,0.925072,0.851122,0.851122,1041,954,16,23,48,954,0,0,0,0,0.908667,0.009333,0.022,0.285629,0.908667,0.014531,5.820718,1.25,90,-60,40,0.882724,0.58,0,0,0,0,0,0,0.379569,right_outer,0,0,auto:ai_track_mode,1,normal,0,0.12364,right,13271,5,1,2223,0,1
curve,session_20260423_145902,70,,,,,1776977956000,305103,running,right_hard,right_hard,heuristic,right_hard,929,0,0,0.922843,0.965075,0.965075,1970,957,34,42,937,957,0,0,0,0,0.619333,0,-0.004889,0.069291,0.619333,0.012853,-1.43894,-0.386966,60,73,53,0.768079,0.58,0,0,0,0,0,0,0.357121,right_outer,0,0,auto:ai_track_mode,1,normal,0,0.227642,right,13522,5,1,2224,0,1
